agencia,tipo_ope,09:00:00 - 09:59:59,10:00:00 - 10:59:59,11:00:00 - 11:59:59,12:00:00 - 12:59:59,13:00:00 - 13:59:59,14:00:00 - 14:59:59,15:00:00 - 15:59:59,16:00:00 - 16:59:59,17:00:00 - 17:59:59,18:00:00 - 18:59:59
AG. CIUDAD UNIVERSITARIA,DEPOSITO,0.418,0.4114,0.4165,0.4278,0.4257,0.4599,0.4308,0.3692,0.3058,0.2372
AG. CIUDAD UNIVERSITARIA,COBRANZA LOCALES OTRAS AGENCIAS,0.1506,0.1444,0.1497,0.1511,0.1673,0.173,0.1785,0.1815,0.1784,0.1439
AG. CIUDAD UNIVERSITARIA,COBRANZAS,0.1048,0.1048,0.0972,0.097,0.0979,0.0921,0.0957,0.1167,0.1391,0.1537
AG. CIUDAD UNIVERSITARIA,RETIRO,0.1809,0.1619,0.1583,0.1593,0.1902,0.1615,0.1546,0.1438,0.1265,0.1675
AG. CIUDAD UNIVERSITARIA,DESEMBOLSO,0.0296,0.035,0.0374,0.0431,0.0473,0.0403,0.0341,0.0413,0.0684,0.115
AG. CIUDAD UNIVERSITARIA,APERTURA,0.0388,0.0372,0.0439,0.0446,0.0497,0.0504,0.0428,0.0431,0.0362,0.0727
AG.PARQUE DE LAS FLORES LOS GUINDALES,DEPOSITO,0.356,0.357,0.3569,0.3581,0.3474,0.367,0.3881,0.3595,0.3048,0.2337
AG.PARQUE DE LAS FLORES LOS GUINDALES,COBRANZA LOCALES OTRAS AGENCIAS,0.1771,0.1618,0.1615,0.1729,0.1873,0.2064,0.1898,0.188,0.1877,0.1572
AG.PARQUE DE LAS FLORES LOS GUINDALES,COBRANZAS,0.2339,0.2097,0.2002,0.1973,0.2685,0.218,0.1925,0.1749,0.1602,0.2248
AG.PARQUE DE LAS FLORES LOS GUINDALES,RETIRO,0.0941,0.0952,0.0995,0.097,0.0924,0.0875,0.0875,0.1053,0.1253,0.1588
AG.PARQUE DE LAS FLORES LOS GUINDALES,DESEMBOLSO,0.0289,0.0353,0.0385,0.0454,0.0439,0.0418,0.0314,0.0377,0.0609,0.122
AG.PARQUE DE LAS FLORES LOS GUINDALES,APERTURA,0.0375,0.0381,0.0369,0.0459,0.0535,0.0453,0.0462,0.0376,0.0373,0.0662
AG. OPEN SAN CARLOS,DEPOSITO,0.3742,0.3561,0.3505,0.3426,0.3645,0.3557,0.3871,0.3776,0.3004,0.2055
AG. OPEN SAN CARLOS,COBRANZA LOCALES OTRAS AGENCIAS,0.155,0.1361,0.155,0.1361,0.1429,0.1624,0.1843,0.2158,0.1582,0.1132
AG. OPEN SAN CARLOS,COBRANZAS,0.0963,0.0908,0.0908,0.0933,0.0918,0.0938,0.0812,0.0804,0.1225,0.1668
AG. OPEN SAN CARLOS,RETIRO,0.2449,0.2079,0.2051,0.2051,0.2408,0.2167,0.2116,0.1873,0.1582,0.1132
AG. OPEN SAN CARLOS,DESEMBOLSO,0.0528,0.0581,0.0573,0.0719,0.0678,0.0673,0.0511,0.0479,0.083,0.1549
AG. OPEN SAN CARLOS,APERTURA,0.0587,0.0491,0.0511,0.0633,0.0591,0.07,0.0577,0.0473,0.044,0.0727
